CIRCUIT_DEPTH,ENCODING,ENTANGLEMENT,N_QUBITS,fourier_spectrum_l2_relative_error,group,l2_relative_error,num_trainable_parameters,pde_residual_rmse,run_name,shock_region_l2_relative_error,status,wall_time_sec
3,angle_reuploading,circular,2,0.9954954956552301,qubits,0.9983541077954862,51,0.09446801245212555,nq2_d3_angle_reuploading_circular,0.9982476691118984,ok,68.12094235420227
3,angle_reuploading,circular,4,0.9880168621716187,qubits,1.0004232059368663,85,0.12394630908966064,nq4_d3_angle_reuploading_circular,0.9992432728676297,ok,208.2282269001007
3,angle_reuploading,circular,6,0.9840001090808957,qubits,0.9977367791724345,119,0.07103138417005539,nq6_d3_angle_reuploading_circular,1.000344823882896,ok,765.1592535972595
3,angle,circular,4,0.9771485335304243,encoding,0.9959224725344986,85,0.09224807471036911,nq4_d3_angle_circular,0.9978751161050994,ok,110.71490502357483
3,angle_reuploading,circular,4,0.9880168621716187,encoding,1.0004232059368663,85,0.12394630908966064,nq4_d3_angle_reuploading_circular,0.9992432728676297,ok,214.9502227306366
3,amplitude,circular,4,0.7658937024653251,encoding,0.7995833600228586,85,0.24555055797100067,nq4_d3_amplitude_circular,0.9864008036078159,ok,71.71741104125977
1,angle_reuploading,circular,4,0.9793272887148229,depth,0.9992653170781913,61,0.05755188316106796,nq4_d1_angle_reuploading_circular,1.0002429863809073,ok,83.16339898109436
2,angle_reuploading,circular,4,1.0017881517021043,depth,1.0019988202086663,73,0.07914745062589645,nq4_d2_angle_reuploading_circular,0.9999421716597688,ok,148.59115481376648
4,angle_reuploading,circular,4,1.010934907281626,depth,1.0053354935265362,97,0.05016015097498894,nq4_d4_angle_reuploading_circular,1.0009656236822768,ok,290.70330595970154
3,angle_reuploading,linear,4,0.9487440501092248,entanglement,0.9902045239922094,85,0.1752985566854477,nq4_d3_angle_reuploading_linear,0.9930541804822929,ok,214.75370526313782
3,angle_reuploading,circular,4,0.9880168621716187,entanglement,1.0004232059368663,85,0.12394630908966064,nq4_d3_angle_reuploading_circular,0.9992432728676297,ok,217.12574005126953
3,angle_reuploading,full,4,0.9624260744288058,entanglement,0.9965156146847021,85,0.13991326093673706,nq4_d3_angle_reuploading_full,0.9906056757266689,ok,222.527405500412
