epoch,phase,total,pde,ic,bc,lr,quantum_grad_norm,elapsed_sec
1,adam,4.089513778686523,3.3079628944396973,0.5390095710754395,0.24254152178764343,0.001,2.9337124824523926,0.982799299992621
60,adam,1.2447264194488525,0.5865961909294128,0.5259737968444824,0.13215643167495728,0.001,0.5443820953369141,52.146466800011694
120,adam,0.6923273205757141,0.11279663443565369,0.5108901858329773,0.06864051520824432,0.001,0.10868772864341736,105.42803099984303
180,adam,0.5441085696220398,0.01895212009549141,0.4935809075832367,0.03157553821802139,0.001,0.025622420012950897,160.70561509998515
240,adam,0.49781879782676697,0.004346055444329977,0.48082298040390015,0.012649779208004475,0.001,0.010103552602231503,212.22394319996238
300,adam,0.48039981722831726,0.0025669583119452,0.4734193682670593,0.0044134813360869884,0.001,0.007265911903232336,263.8628396000713
