epoch,phase,total,pde,ic,bc,lr,quantum_grad_norm,elapsed_sec
1,adam,0.6241097450256348,0.0865924060344696,0.42841246724128723,0.10910486429929733,0.001,0.34116530418395996,1.373800799716264
100,adam,0.36644384264945984,0.05483419820666313,0.30153027176856995,0.010079395957291126,0.001,0.12096530199050903,35.280193800106645
200,adam,0.3248683214187622,0.05411313846707344,0.25627610087394714,0.014479058794677258,0.001,0.07886883616447449,71.74811210017651
300,adam,0.29980549216270447,0.05926988273859024,0.22035816311836243,0.020177440717816353,0.001,0.05287028104066849,108.12241589976475
301,lbfgs,0.29961222410202026,0.059317197650671005,0.22008033096790314,0.020214717835187912,1,0.05289595574140549,0.32988939993083477
400,lbfgs,0.1484982818365097,0.06596221774816513,0.07955942302942276,0.0029766387306153774,1,0.17338769137859344,36.80243119969964
