epoch,phase,total,pde,ic,bc,lr,quantum_grad_norm,elapsed_sec
1,adam,0.6247850656509399,0.08726774156093597,0.42841246724128723,0.10910486429929733,0.001,0.3456125259399414,0.2762005003169179
60,adam,0.3902725577354431,0.05319703742861748,0.3250647485256195,0.01201077550649643,0.001,0.15442854166030884,12.95600190013647
120,adam,0.356200248003006,0.05464491248130798,0.29116809368133545,0.010387232527136803,0.001,0.11450018733739853,26.02361650019884
180,adam,0.3305421769618988,0.05330371856689453,0.2641432583332062,0.013095203787088394,0.001,0.09301100671291351,39.450114000122994
240,adam,0.30950766801834106,0.055156003683805466,0.23765981197357178,0.01669187843799591,0.001,0.061895739287137985,52.066916400101036
300,adam,0.2945321202278137,0.05719536915421486,0.21756619215011597,0.01977057382464409,0.001,0.05613480135798454,65.36388540035114
