epoch,phase,total,pde,ic,bc,lr,quantum_grad_norm,elapsed_sec
1,adam,2.839838743209839,2.1870172023773193,0.540780782699585,0.11204079538583755,0.001,1.2053781747817993,0.6915097995661199
60,adam,1.0819802284240723,0.6025032997131348,0.45585936307907104,0.023617491126060486,0.001,0.3555319607257843,40.50024449964985
120,adam,0.6443619132041931,0.2058614194393158,0.43611180782318115,0.002388644265010953,0.001,0.13464759290218353,80.90337509987876
180,adam,0.5224199891090393,0.08072580397129059,0.44130170345306396,0.00039249437395483255,0.001,0.06381040066480637,120.56399759976193
240,adam,0.4839692711830139,0.035974711179733276,0.44791245460510254,8.210902160499245e-05,0.001,0.03517884016036987,160.66339739970863
300,adam,0.47145387530326843,0.01870874874293804,0.4527205526828766,2.457476148265414e-05,0.001,0.022537946701049805,199.79185919975862
